region,rvalue-s,pvalue-s,fdr-pvalue-s,rvalue,pvalue,fdr-pvalue
A7pc_R,-0.15133956583754096,0.05531748168864171,0.33489502427718226,-0.15316482573048013,0.05240862350929089,0.3557433838206412
A7ip_R,-0.08054136220388315,0.3097992035483861,0.6287732662949036,-0.08675302686144326,0.2738410008355095,0.5825447979081074
A39c_R,-0.18375450260260837,0.019631335454982232,0.23823457696050757,-0.17757976844173232,0.02422007745685533,0.2960800520256456
A39rd_R,-0.07045043013001447,0.3745114088196384,0.6759143010264159,-0.06586881559387922,0.406441914242251,0.6515853839783302
A40rd_R,-0.0005207757653561966,0.9947687742871091,0.995964261512533,-0.02972797653060536,0.7081444092708039,0.828785885345345
A40c_R,-0.05889959480257105,0.45798224199390625,0.7176491096148752,-0.09482454434112285,0.2314969545496431,0.5825447979081074
A39rv_R,-0.06903668982516939,0.384196188717302,0.6782492464183694,-0.10652070053635226,0.17865933288679917,0.5278810308157854
A40rv_R,-0.14000356794409663,0.0765043443322722,0.3894766620552039,-0.1722135865517444,0.028927988950434497,0.2960800520256456
A7m_R,-0.04588597103725735,0.5632670599261602,0.7836759094624838,-0.07986347913302616,0.3139022565995496,0.6160537164027712
A5m_R,-0.10258849799872734,0.19532749640740701,0.5335775511616972,-0.10221143895692879,0.19698325274015047,0.5585347925796671
dmPOS_R,0.031100844114443887,0.6953202532615159,0.8623920430415999,0.04391235164473625,0.5801876191778632,0.7357042956809435
A31_R,-0.08558610694474358,0.2803709886635013,0.6287732662949036,-0.07367567141732267,0.3529832040783359,0.631831090149324
3ulhf_R,-0.13390140315889798,0.09037661028878777,0.4001267454139397,-0.13133552548918348,0.09677822626075905,0.4424147486206128
3tonIa_R,-0.1521256697620693,0.054048753488785115,0.33489502427718226,-0.20114496847088104,0.010510604755861578,0.2960800520256456
A2_R,-0.0636803451803839,0.42224525544499636,0.7003477881144854,-0.08439551050232923,0.28714061753126785,0.5900871406147156
3tru_R,0.03971888960540765,0.6169013243737089,0.810697048322431,0.07249079916079099,0.36080033128358957,0.631831090149324
G_R,0.03717704224098212,0.6396343506834699,0.8187319688748415,0.0520910688518303,0.5116586486299373,0.698850837153085
vIa_R,-0.00040176220198416855,0.995964261512533,0.995964261512533,0.014540692817205015,0.854740910898618,0.9295690221636008
dIa_R,0.07170260011430582,0.36605954240355953,0.673325413837496,0.09761988544908337,0.21796747413805515,0.5747288668720989
vIg_R,0.03101428858557582,0.6961262817384077,0.8623920430415999,0.05212152832847201,0.5114114819255391,0.698850837153085
dIg_R,-0.05550016630461732,0.48438316716495877,0.7233455296330051,-0.08167066958835835,0.30304206407741724,0.6115443455255988
