region,cohen_d,pvalue-s,fdr-pvalue-s
A20il_L,-0.1302834086520125,0.11793848382016704,0.3165404850166304
A37vl_L,-0.09628739307361586,0.24766896659423965,0.4729224259835944
A20cl_L,-0.20124189988484087,0.015876803842233056,0.08891010151650511
A20cv_L,0.15014136467131267,0.07166980057002123,0.25084430199507435
A20rv_L,0.11712664759706268,0.15976505855027975,0.38071673526875177
A37mv_L,0.0377460648839364,0.6502692923182192,0.8047531573440945
A37lv_L,-0.11050644267121472,0.18466856649211996,0.4156193627728589
36r_L,-0.10063354287305812,0.22698974596640878,0.47079354718958855
36c_L,0.15497203937292658,0.06302671030298382,0.23144234603062913
TL_L,0.25563418196298116,0.0022193789616845585,0.024857044370867054
34_L,0.041179179399736726,0.6208703169267777,0.7901985851795353
TI_L,-0.2746215817880934,0.0010216168745413423,0.013461304699838864
TH_L,0.04803230776057039,0.5639989437721646,0.7348131060560548
rpSTS_L,0.0186456715289025,0.8227750489744633,0.9190616240098545
cpSTS_L,-0.035489832690398355,0.669895508136358,0.8199813870084383
A7r_L,0.12144823360014491,0.1449380659201125,0.36073474184561327
A7c_L,0.20542835119454314,0.013829417719048338,0.08604971025185632
A5l_L,0.10765313123669082,0.19624890396162842,0.4226899469942766
A7pc_L,0.2890955559691682,0.0005482697757547831,0.008649013548725838
A7ip_L,0.30877521664153545,0.0002253490710748938,0.004588926538252383
A39c_L,0.07262030195861,0.3831618933749922,0.5944464369292112
A39rd_L,0.27118672957916834,0.0011795733243234814,0.014344968872804698
A40rd_L,0.13505954737815004,0.10508574486335027,0.3088186291289441
A40c_L,-0.003291197854145066,0.9684633730303509,0.9876979841426076
A39rv_L,-0.06824586314871522,0.4124539993416638,0.607050091821546
A40rv_L,-0.1335908118046094,0.10891371295172582,0.3088186291289441
A7m_L,0.22205819816857342,0.007817646117153354,0.05553302694003279
A5m_L,0.22797688285690013,0.006327290329244901,0.05249307532410584
dmPOS_L,0.15911255156340884,0.05632311110680611,0.22529244442722443
A31_L,0.15014695246933227,0.07165926701250866,0.25084430199507435
3ulhf_L,0.20325239727250968,0.014862396685078494,0.08891010151650511
3tonIa_L,0.17561900572504183,0.03521797870209555,0.1546828868484197
A2_L,0.21359543538656733,0.010496665185774327,0.0691545000474544
3tru_L,0.2015102636716365,0.015737961542601167,0.08891010151650511
G_L,-0.24253514156462003,0.0036898828576572276,0.034438906671467456
vIa_L,0.13632452952185886,0.10187531455754284,0.3083793305525621
dIa_L,-0.005861077392281094,0.9438703218611932,0.9788284819301263
vIg_L,0.12270691286154192,0.1408247054452827,0.3584628865879923
dIg_L,0.184476958915781,0.026990918521059153,0.1343547944159389
dId_L,0.1345513206183825,0.10639804001037743,0.3088186291289441
A23d_L,0.11605200462284493,0.16362473728941376,0.38548837312201967
A24rv_L,0.06485259314230206,0.43606653962508635,0.614332735069304
A32p_L,-0.13001262004630773,0.11870268188123641,0.3165404850166304
A23v_L,-0.06848926162017173,0.4107899918676279,0.607050091821546
A24cd_L,0.04840449342012077,0.5609836914993569,0.7348131060560548
A23c_L,0.22460767889927974,0.007140781737226021,0.05553302694003279
A32sg_L,-0.13805322629909036,0.0976151169118966,0.30369147483701164
cLinG_L,-0.060541912809064465,0.46716097387060207,0.6459509762161412
rCunG_L,0.07129466213291781,0.3919007933868961,0.5996466160176082
cCunG_L,-0.06724233085760677,0.419356883752909,0.607050091821546
rLinG_L,0.07794752151702901,0.3492654120402834,0.5840231495497631
vmPOS_L,0.07274411259431483,0.38235186217802186,0.5944464369292112
mOccG_L,0.034136371502606885,0.6817792629769879,0.8288068373338245
MT+_L,0.09843868840924823,0.23727337441843369,0.4729224259835944
OPC_L,0.03715610578121812,0.655378422517428,0.8066195969445267
iOccG_L,0.06920174261963118,0.40594210235533235,0.6062068728506297
msOccG_L,0.0762146281356505,0.36007598381627026,0.5944464369292112
lsOccG_L,0.34152014446025725,4.601905157505539e-05,0.0014726096504017725
Left-Thalamus-Proper,-0.13132376856362657,0.11503839829012386,0.3142512343535091
Left-Caudate,-0.15668218190182695,0.060181820478638896,0.2269129275602542
Left-Putamen,0.07884404100156142,0.34375446889914196,0.5840231495497631
Left-Pallidum,0.09599041261455074,0.24912877797350064,0.4729224259835944
Left-Hippocampus,-0.07817145809693549,0.3478836229757498,0.5840231495497631
Left-Amygdala,-0.030320767654855366,0.7157014533120492,0.8393566782298377
Left-Accumbens-area,0.0136919349067264,0.8693587865427163,0.9428877311283543
Right-Thalamus-Proper,0.010526591674142233,0.8993755590798642,0.9458221841966648
Right-Caudate,-0.11263545472820355,0.17636379727196508,0.4054196577215946
Right-Putamen,0.01346005203593136,0.8715518645733663,0.9428877311283543
Right-Pallidum,0.004236581128483796,0.9594115669506429,0.9858173898942386
Right-Hippocampus,-0.10851192169401627,0.19270869356969372,0.4226899469942766
Right-Amygdala,-0.07384603542373051,0.3751889829147459,0.5944464369292112
Right-Accumbens-area,-0.10325216454478846,0.21514238111325237,0.45039152681652833
